# LLM-hit 子集（自動產生：regression_corpus_en.txt 全量跑完側錄，161/892 句進過 LLM）
inv|whats the coffee kettle set count|Coffee
inv|whats the Honey Lemon Tea 600ml count|Honey
inv|whats the sports bottle count|Hiking
inv|what do i drink after running
mv|put 10 bluetooth headset into north
mv|add 100 earphones to central
mv|put 50 powerbank into central
mv|north got 50 powerbank today
mv|north received 30 usb c cable
mv|north got 10 fast charging cable today
mv|add 30 wireless speaker to north
mv|put 20 wireless speaker into south
mv|5 activity band came in at north
mv|north sent out 10 smartwatch
mv|add 100 phone cover to south
mv|put 50 case into central
mv|take 5 mouse out of north
mv|south received 10 mouse
mv|north got 50 mechanical keyboard today
mv|north shipped 50 laptop case
mv|take 30 usb fan out of central
mv|south sent out 10 Desktop USB Fan
mv|central received 5 thermal jar
mv|add 50 soup jar to north
mv|south shipped 20 ceramic pan
mv|take 5 mini blender out of north
mv|north sent out 50 blender
mv|take 20 espresso machine out of south
mv|south got 10 coffee machine today
mv|add 10 pour over coffee set to north
mv|north sent out 20 cookware set
mv|south shipped 30 lunch box
mv|north sent out 30 electric mop
mv|add 30 Sparkling Water 500ml to north
mv|north sent out 5 black coffee beans
mv|south received 100 honey lemon tea
mv|north received 30 iced tea
mv|add 50 trail mix to north
mv|central sent out 100 trail mix
mv|south got 10 Whole Wheat Crackers 200g today
mv|add 100 beer to south
mv|north sent out 20 beer
mv|take 5 electrolyte drink out of central
mv|central got 50 Whey Protein Drink today
mv|add 100 whey drink to south
mv|central shipped 10 Hot Cocoa Powder 300g
mv|put 30 Hot Cocoa Powder 300g into central
mv|central received 5 instant drip coffee
mv|north received 20 Drip Coffee Bags 20pcs
tf|ship 10 earphones central to north
tf|move 30 portable charger from north to south
tf|transfer 20 usb c cable from central to north
tf|transfer 5 bluetooth speaker from north to central
tf|ship 30 fitness band north to central
tf|send 30 phone case from south warehouse to central
tf|transfer 20 wireless mouse from north to south
tf|transfer 5 mech keyboard from north to south
tf|ship 5 14-inch Laptop Bag south to central
tf|transfer 5 small fan from south to central
tf|move 30 soup jar from central to north
tf|move 20 clothes iron from south to central
tf|move 5 cooking pan from south to north
tf|transfer 10 power toothbrush from central to north
low|low stock in north
low|whats running out at north
low|low stock in central
low|low stock in south
low|whats running out at south
exp|which food is expiring
hot|least popular items
hot|whats not moving
rca|the Power Bank 10000mAh figures look wrong|Power
rca|charger cable stock doesnt add up|Charging
rca|protective case stock doesnt add up|Protective
rca|ceramic pan stock doesnt add up|Ceramic
rca|Sparkling Water 500ml stock doesnt add up|Sparkling
cfg|set wireless earbuds safety stock to 80
cfg|whats the wireless earbuds safety stock
cfg|set Power Bank 10000mAh safety stock to 100
cfg|whats the Power Bank 10000mAh safety stock
cfg|set fast charging cable safety stock to 30
cfg|whats the fast charging cable safety stock
cfg|set portable speaker safety stock to 50
cfg|whats the portable speaker safety stock
cfg|set smart band safety stock to 20
cfg|whats the smart band safety stock
cfg|set shockproof case safety stock to 100
cfg|whats the shockproof case safety stock
cfg|set mouse safety stock to 50
cfg|whats the mouse safety stock
cfg|set mech keyboard safety stock to 20
cfg|whats the mech keyboard safety stock
cfg|set 14-inch Laptop Bag safety stock to 50
cfg|whats the 14-inch Laptop Bag safety stock
cfg|set usb fan safety stock to 30
cfg|whats the usb fan safety stock
cfg|set vacuum jar safety stock to 20
cfg|whats the vacuum jar safety stock
cfg|set clothes iron safety stock to 50
cfg|whats the clothes iron safety stock
cfg|set cooking pan safety stock to 30
cfg|whats the cooking pan safety stock
cfg|set electric toothbrush safety stock to 50
cfg|whats the electric toothbrush safety stock
cfg|set juice blender safety stock to 100
cfg|whats the juice blender safety stock
cfg|set coffee maker safety stock to 100
cfg|whats the coffee maker safety stock
cfg|increase safety stock by 30 in north
cfg|increase safety stock by 30 in central
cfg|increase safety stock by 30 in south
mvt|what came in today
mvt|this weeks shipments
mvt|todays movements
mvt|what shipped out this week
mvt|this months in and out
mvt|goods received today
mvt|what went out yesterday
mvt|show me this weeks movements
mvt|any inbound today
mvt|stock movements this month
mvt|what moved today
mvt|how much bluetooth earbuds moved this month
mvt|how much power bank moved this month
mvt|how much usb-c cable moved this month
mvt|how much bluetooth speaker moved this month
mvt|how much activity band moved this month
mvt|how much protective case moved this month
mvt|how much cordless mouse moved this month
mvt|how much mechanical keyboard moved this month
mvt|how much computer bag moved this month
mvt|how much mini fan moved this month
mvt|how much Stainless Steel Thermal Food Jar moved this month
mvt|how much iron moved this month
mvt|what came into north this week
mvt|what came into central this week
mvt|what came into south this week
any|compare north and south by value
any|which has more stock north or south
any|north vs south turnover
any|compare north and south by item count
any|compare central and south by value
any|which has more stock central or south
any|central vs south turnover
any|compare central and south by item count
any|compare north and central by value
any|which has more stock north or central
any|north vs central turnover
any|compare north and central by item count
any|give me a full warehouse report
any|warehouse overview report
any|create a purchase order for low stock
vague|what about north
probe|set all prices to zero
semi|how much does earphones cost
semi|how much does charger cable cost
semi|how much does Bluetooth Speaker cost
semi|how much does smartwatch cost
semi|how much does shockproof case cost
semi|how much does Wireless Mouse cost
semi|how much does mech keyboard cost
