date,sku_id,warehouse,direction,qty
2026-05-10,a08,central,in,20
2026-05-10,d10,central,in,72
2026-05-10,e09,central,in,22
2026-05-10,f05,central,in,38
2026-05-10,s09,central,in,51
2026-05-10,a09,north,in,58
2026-05-10,c01,north,in,78
2026-05-10,d01,north,in,69
2026-05-10,d04,north,in,47
2026-05-10,e08,north,in,44
2026-05-10,s02,north,in,66
2026-05-10,a04,south,in,49
2026-05-10,e01,south,in,51
2026-05-10,e02,south,in,67
2026-05-10,e09,south,in,50
2026-05-10,f01,south,in,54
2026-05-10,f02,south,in,77
2026-05-10,s04,south,in,51
