date,sku_id,warehouse,direction,qty
2026-05-10,a04,central,out,2
2026-05-10,c09,central,out,2
2026-05-10,d02,central,out,4
2026-05-10,d02,central,out,2
2026-05-10,d06,central,out,3
2026-05-10,d07,central,out,2
2026-05-10,d08,central,out,2
2026-05-10,e01,central,out,2
2026-05-10,e03,central,out,3
2026-05-10,e03,central,out,1
2026-05-10,e06,central,out,1
2026-05-10,e09,central,out,3
2026-05-10,f06,central,out,1
2026-05-10,f09,central,out,3
2026-05-10,a04,north,out,2
2026-05-10,a06,north,out,2
2026-05-10,a06,north,out,1
2026-05-10,c02,north,out,2
2026-05-10,c04,north,out,4
2026-05-10,c08,north,out,4
2026-05-10,c09,north,out,1
2026-05-10,c10,north,out,2
2026-05-10,d03,north,out,1
2026-05-10,d07,north,out,1
2026-05-10,e01,north,out,1
2026-05-10,e01,north,out,3
2026-05-10,e04,north,out,3
2026-05-10,e04,north,out,3
2026-05-10,e05,north,out,1
2026-05-10,e10,north,out,2
2026-05-10,f01,north,out,4
2026-05-10,f06,north,out,4
2026-05-10,f10,north,out,3
2026-05-10,f10,north,out,1
2026-05-10,a07,south,out,4
2026-05-10,d03,south,out,4
2026-05-10,d06,south,out,1
2026-05-10,e05,south,out,2
2026-05-10,e06,south,out,1
2026-05-10,e07,south,out,3
2026-05-10,f02,south,out,1
2026-05-10,f05,south,out,3
2026-05-10,s02,south,out,1
2026-05-10,s09,south,out,2
