date,sku_id,warehouse,direction,qty
2026-04-16,a01,central,in,53
2026-04-16,a03,central,in,78
2026-04-16,a06,central,in,26
2026-04-16,a07,central,in,43
2026-04-16,d04,central,in,27
2026-04-16,d06,central,in,53
2026-04-16,f01,central,in,24
2026-04-16,a05,north,in,60
2026-04-16,a10,north,in,66
2026-04-16,c01,north,in,50
2026-04-16,c04,north,in,41
2026-04-16,c06,north,in,41
2026-04-16,c08,north,in,56
2026-04-16,d04,north,in,50
2026-04-16,d06,north,in,55
2026-04-16,f02,north,in,38
2026-04-16,s02,north,in,20
2026-04-16,c08,south,in,74
2026-04-16,e05,south,in,29
2026-04-16,f01,south,in,75
2026-04-16,s07,south,in,51
2026-04-16,s09,south,in,39
2026-04-16,s10,south,in,25
